cities,birth_rate,ad_layer,ID
경기 수원시,1.292,자치시,1
경기 성남시,1.159,자치시,2
경기 의정부시,1.104,자치시,3
경기 안양시,1.177,자치시,4
경기 부천시,1.072,자치시,5
경기 광명시,1.235,자치시,6
경기 평택시,1.469,자치시,7
경기 동두천시,1.292,자치시,8
경기 안산시,1.219,자치시,9
경기 고양시,1.161,자치시,10
경기 과천시,1.099,자치시,11
경기 구리시,1.159,자치시,12
경기 남양주시,1.255,자치시,13
경기 오산시,1.458,자치시,14
경기 시흥시,1.306,자치시,15
경기 군포시,1.422,자치시,16
경기 의왕시,1.209,자치시,17
경기 하남시,1.076,자치시,18
경기 용인시,1.316,자치시,19
경기 파주시,1.443,자치시,20
경기 이천시,1.470,자치시,21
경기 안성시,1.335,자치시,22
경기 김포시,1.461,자치시,23
경기 화성시,1.555,자치시,24
경기 광주시,1.450,자치시,25
경기 양주시,1.318,자치시,26
경기 포천시,1.354,자치시,27
경기 여주시,1.336,자치시,28
강원 춘천시,1.202,자치시,29
강원 원주시,1.255,자치시,30
강원 강릉시,1.234,자치시,31
강원 동해시,1.340,자치시,32
강원 태백시,1.276,자치시,33
강원 속초시,1.486,자치시,34
강원 삼척시,1.307,자치시,35
충북 청주시,1.444,자치시,36
충북 충주시,1.260,자치시,37
충북 제천시,1.301,자치시,38
충남 천안시,1.380,자치시,39
충남 공주시,1.147,자치시,40
충남 보령시,1.303,자치시,41
충남 아산시,1.692,자치시,42
충남 서산시,1.752,자치시,43
충남 논산시,1.384,자치시,44
충남 계룡시,1.305,자치시,45
충남 당진시,1.949,자치시,46
전북 전주시,1.255,자치시,47
전북 군산시,1.495,자치시,48
전북 익산시,1.341,자치시,49
전북 정읍시,1.338,자치시,50
전북 남원시,1.383,자치시,51
전북 김제시,1.268,자치시,52
전남 목포시,1.304,자치시,53
전남 여수시,1.550,자치시,54
전남 순천시,1.340,자치시,55
전남 나주시,1.639,자치시,56
전남 광양시,1.835,자치시,57
경북 포항시,1.475,자치시,58
경북 경주시,1.294,자치시,59
경북 김천시,1.419,자치시,60
경북 안동시,1.619,자치시,61
경북 구미시,1.440,자치시,62
경북 영주시,1.357,자치시,63
경북 영천시,1.554,자치시,64
경북 상주시,1.391,자치시,65
경북 문경시,1.571,자치시,66
경북 경산시,1.457,자치시,67
경남 창원시,1.345,자치시,68
