cities,birth_rate,dummy
경기 수원시,1.292,1
경기 성남시,1.159,1
경기 의정부시,1.104,1
경기 안양시,1.177,1
경기 부천시,1.072,1
경기 광명시,1.235,1
경기 평택시,1.469,1
경기 동두천시,1.292,1
경기 안산시,1.219,1
경기 고양시,1.161,1
경기 과천시,1.099,1
경기 구리시,1.159,1
경기 남양주시,1.255,1
경기 오산시,1.458,1
경기 시흥시,1.306,1
경기 군포시,1.422,1
경기 의왕시,1.209,1
경기 하남시,1.076,1
경기 용인시,1.316,1
경기 파주시,1.443,1
경기 이천시,1.470,1
경기 안성시,1.335,1
경기 김포시,1.461,1
경기 화성시,1.555,1
경기 광주시,1.450,1
경기 양주시,1.318,1
경기 포천시,1.354,1
경기 여주시,1.336,1
강원 춘천시,1.202,1
강원 원주시,1.255,1
강원 강릉시,1.234,1
강원 동해시,1.340,1
강원 태백시,1.276,1
강원 속초시,1.486,1
강원 삼척시,1.307,1
충북 청주시,1.444,1
충북 충주시,1.260,1
충북 제천시,1.301,1
충남 천안시,1.380,1
충남 공주시,1.147,1
충남 보령시,1.303,1
충남 아산시,1.692,1
충남 서산시,1.752,1
충남 논산시,1.384,1
충남 계룡시,1.305,1
충남 당진시,1.949,1
전북 전주시,1.255,1
전북 군산시,1.495,1
전북 익산시,1.341,1
전북 정읍시,1.338,1
전북 남원시,1.383,1
전북 김제시,1.268,1
전남 목포시,1.304,1
전남 여수시,1.550,1
전남 순천시,1.340,1
전남 나주시,1.639,1
전남 광양시,1.835,1
경북 포항시,1.475,1
경북 경주시,1.294,1
경북 김천시,1.419,1
경북 안동시,1.619,1
경북 구미시,1.440,1
경북 영주시,1.357,1
경북 영천시,1.554,1
경북 상주시,1.391,1
경북 문경시,1.571,1
경북 경산시,1.457,1
경남 창원시,1.345,1
경남 진주시,1.290,1
경남 통영시,1.484,1
경남 사천시,1.518,1
경남 김해시,1.495,1
경남 밀양시,1.268,1
경남 거제시,1.911,1
경남 양산시,1.504,1
부산 기장군,1.771,0
대구 달성군,1.535,0
인천 강화군,1.081,0
인천 옹진군,1.339,0
울산 울주군,1.579,0
경기 연천군,1.729,0
경기 가평군,1.270,0
경기 양평군,1.180,0
강원 홍천군,1.479,0
강원 횡성군,1.214,0
강원 영월군,1.092,0
강원 평창군,1.120,0
강원 정선군,1.097,0
강원 철원군,1.724,0
강원 화천군,1.926,0
강원 양구군,1.748,0
강원 인제군,2.161,0
강원 고성군,1.264,0
강원 양양군,1.224,0
충북 보은군,1.536,0
충북 옥천군,1.254,0
충북 영동군,1.210,0
충북 진천군,1.620,0
충북 괴산군,0.980,0
충북 음성군,1.517,0
충북 단양군,1.226,0
충북 증평군,1.832,0
충남 금산군,1.290,0
충남 부여군,1.311,0
충남 서천군,1.213,0
충남 청양군,1.497,0
충남 홍성군,1.354,0
충남 예산군,1.160,0
충남 태안군,1.321,0
전북 완주군,1.697,0
전북 진안군,1.821,0
전북 무주군,1.460,0
전북 장수군,1.388,0
전북 임실군,1.634,0
전북 순창군,1.475,0
전북 고창군,1.278,0
전북 부안군,1.178,0
전남 담양군,1.599,0
전남 곡성군,1.437,0
전남 구례군,1.570,0
전남 고흥군,1.091,0
전남 보성군,1.700,0
전남 화순군,1.219,0
전남 장흥군,1.204,0
전남 강진군,1.755,0
전남 해남군,2.464,0
전남 영암군,2.107,0
전남 무안군,1.444,0
전남 함평군,1.630,0
전남 영광군,1.652,0
전남 장성군,2.101,0
전남 완도군,1.767,0
전남 진도군,1.697,0
전남 신안군,1.539,0
경북 군위군,1.239,0
경북 의성군,1.505,0
경북 청송군,1.548,0
경북 영양군,1.517,0
경북 영덕군,1.542,0
경북 청도군,1.081,0
경북 고령군,1.710,0
경북 성주군,1.674,0
경북 칠곡군,1.583,0
경북 예천군,1.544,0
경북 봉화군,1.623,0
경북 울진군,1.647,0
경북 울릉군,1.164,0
경남 의령군,1.317,0
경남 함안군,1.450,0
경남 창녕군,1.420,0
경남 고성군,1.307,0
경남 남해군,1.238,0
경남 하동군,1.341,0
경남 산청군,1.888,0
경남 함양군,1.404,0
경남 거창군,1.234,0
경남 합천군,0.980,0
