cities,birth_rate_2015,birth_rate_2010,ID
경기 수원시,1.292,1.226,1
경기 성남시,1.159,1.170,2
경기 의정부시,1.104,1.179,3
경기 안양시,1.177,1.186,4
경기 부천시,1.072,1.172,5
경기 광명시,1.235,1.336,6
경기 평택시,1.469,1.447,7
경기 동두천시,1.292,1.450,8
경기 안산시,1.219,1.251,9
경기 고양시,1.161,1.165,10
경기 과천시,1.099,1.148,11
경기 구리시,1.159,1.232,12
경기 남양주시,1.255,1.349,13
경기 오산시,1.458,1.589,14
경기 시흥시,1.306,1.478,15
경기 군포시,1.422,1.451,16
경기 의왕시,1.209,1.312,17
경기 하남시,1.076,1.199,18
경기 용인시,1.316,1.331,19
경기 파주시,1.443,1.532,20
경기 이천시,1.470,1.483,21
경기 안성시,1.335,1.436,22
경기 김포시,1.461,1.324,23
경기 화성시,1.555,1.830,24
경기 광주시,1.450,1.345,25
경기 양주시,1.318,1.442,26
경기 포천시,1.354,1.307,27
강원 춘천시,1.202,1.233,28
강원 원주시,1.255,1.327,29
강원 강릉시,1.234,1.173,30
강원 동해시,1.340,1.282,31
강원 태백시,1.276,1.475,32
강원 속초시,1.486,1.337,33
강원 삼척시,1.307,1.236,34
충북 청주시,1.444,1.341,35
충북 충주시,1.260,1.346,36
충북 제천시,1.301,1.342,37
충남 천안시,1.380,1.391,38
충남 공주시,1.147,1.259,39
충남 보령시,1.303,1.387,40
충남 아산시,1.692,1.733,41
충남 서산시,1.752,1.660,42
충남 논산시,1.384,1.356,43
충남 계룡시,1.305,1.412,44
전북 전주시,1.255,1.230,45
전북 군산시,1.495,1.416,46
전북 익산시,1.341,1.337,47
전북 정읍시,1.338,1.386,48
전북 남원시,1.383,1.480,49
전북 김제시,1.268,1.474,50
전남 목포시,1.304,1.445,51
전남 여수시,1.550,1.379,52
전남 순천시,1.340,1.250,53
전남 나주시,1.639,1.276,54
전남 광양시,1.835,1.886,55
경북 포항시,1.475,1.330,56
경북 경주시,1.294,1.264,57
경북 김천시,1.419,1.398,58
경북 안동시,1.619,1.528,59
경북 구미시,1.440,1.334,60
경북 영주시,1.357,1.332,61
경북 영천시,1.554,1.468,62
경북 상주시,1.391,1.410,63
경북 문경시,1.571,1.411,64
경북 경산시,1.457,1.342,65
경남 창원시,1.345,1.323,66
경남 진주시,1.290,1.267,67
경남 통영시,1.484,1.655,68
경남 사천시,1.518,1.532,69
경남 김해시,1.495,1.471,70
경남 밀양시,1.268,1.150,71
경남 거제시,1.911,1.883,72
경남 양산시,1.504,1.371,73
