군별,dummy,birth_rate,cultural_center,social_welfare,active_firms,pop,urban_park,doctors,tris,kindergarten
경기 수원시,1.000,1.292,2.790,6.900,57.180,1194041,12.340,2.740,3.769,1.600
경기 성남시,1.000,1.159,2.160,6.160,62.430,974580,18.310,3.720,4.156,1.283
경기 의정부시,1.000,1.104,1.380,18.560,57.740,438457,8.150,2.430,3.216,1.460
경기 안양시,1.000,1.177,2.340,5.330,74.080,597414,13.480,2.570,4.017,1.440
경기 부천시,1.000,1.072,2.940,13.790,69.130,851380,7.520,2.680,8.797,1.445
경기 광명시,1.000,1.235,2.320,4.590,52.850,339484,10.300,1.930,2.268,1.502
경기 평택시,1.000,1.469,2.610,8.450,71.150,470832,7.900,1.650,13.763,2.209
경기 동두천시,1.000,1.292,4.080,32.790,62.810,98277,12.930,1.760,13.635,1.933
경기 안산시,1.000,1.219,3.440,16.810,73.390,689859,13.150,2.200,23.512,1.435
경기 고양시,1.000,1.161,3.020,15.010,58.940,1039684,9.210,2.830,5.194,1.606
경기 과천시,1.000,1.099,17.400,4.280,52.650,63778,107.770,1.120,3.136,1.254
경기 구리시,1.000,1.159,3.210,8.560,70.940,193763,18.620,2.990,3.871,1.652
경기 남양주시,1.000,1.255,3.830,17.290,51.390,662154,10.350,1.330,5.950,1.616
경기 오산시,1.000,1.458,5.320,5.270,53.210,208656,14.060,1.660,5.080,2.348
경기 시흥시,1.000,1.306,3.770,18.240,94.970,402888,15.640,1.430,19.708,1.514
경기 군포시,1.000,1.422,2.780,12.480,55.420,284890,9.260,1.890,4.914,1.720
경기 의왕시,1.000,1.209,5.070,9.460,50.360,156763,13.330,1.340,5.358,1.531
경기 하남시,1.000,1.076,3.000,16.120,78.930,211101,17.980,1.240,3.790,1.279
경기 용인시,1.000,1.316,3.790,9.570,47.230,991126,12.010,1.520,6.861,1.705
경기 파주시,1.000,1.443,7.800,17.990,60.380,430781,19.690,1.260,20.335,2.298
경기 이천시,1.000,1.470,6.340,13.660,72.510,210359,17.560,1.700,13.548,2.472
경기 안성시,1.000,1.335,6.100,25.290,76.390,182896,6.240,1.540,32.860,2.843
경기 김포시,1.000,1.461,2.860,10.580,71.100,363443,17.560,1.680,23.415,2.229
